2023-08-07 10:41:13.234 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2023-08-07 10:41:13.243 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2023-08-07 10:41:13.249 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 6 ms
2023-08-07 10:41:13.341 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2023-08-07 10:41:13.342 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2023-08-07 10:41:13.342 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2023-08-07 10:43:50.083 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2023-08-07 10:43:50.084 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2023-08-07 10:43:50.088 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 4 ms
2023-08-07 10:43:50.182 INFO  [main] o.s.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2023-08-07 10:43:50.182 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2023-08-07 10:43:50.182 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2023-08-07 11:10:54.415 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.Integration.KidIntegrationTest]: KidIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-08-07 11:10:54.548 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.Hw1Application for test class com.example.demo.Integration.KidIntegrationTest
2023-08-07 11:10:54.933 INFO  [main] c.e.d.Integration.KidIntegrationTest - Starting KidIntegrationTest using Java 18.0.2 with PID 8732 (started by z1035 in C:\Users\z1035\eclipse-workspace\HW1)
2023-08-07 11:10:54.934 INFO  [main] c.e.d.Integration.KidIntegrationTest - The following 1 profile is active: "dev"
2023-08-07 11:10:55.929 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-07 11:10:55.931 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-07 11:10:56.093 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 153 ms. Found 6 JPA repository interfaces.
2023-08-07 11:10:56.116 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-07 11:10:56.117 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
